Airport Code,Airport Name,Country,Latitude,Longitude
ATL,Hartsfield Jackson Atlanta International,United States,33.6367,-84.4281
PEK,Beijing Capital International,China,40.0799,116.6031
DXB,Dubai International,United Arab Emirates,25.2532,55.3657
ORD,Chicago O’Hare International,United States,41.9808,-87.9067
HND,Tokyo International,Japan,35.5494,139.7798
LHR,London Heathrow,United Kingdom,51.47,0.4543
LAX,Los Angeles International,United States,33.9425,-118.4072
HKG,Hong Kong International Kai Tak,Hong Kong,22.308,113.9185
CDG,Charles de Gaulle International,France,49.0097,2.5479
DFW,Dallas Fort Worth International,United States,32.8969,-97.0381
